Date,Open,High,Low,Close,Adj Close,Volume
2025-06-13,6000.56,6026.16,5963.21,5976.97,5976.97,5258910000
2025-06-12,6009.9,6045.43,6003.88,6045.26,6045.26,4669500000
2025-06-11,6049.38,6059.4,6002.32,6022.24,6022.24,5111550000
2025-06-10,6009.91,6043.01,6000.28,6038.81,6038.81,4882880000
2025-06-09,6004.63,6021.31,5994.18,6005.88,6005.88,4642360000
2025-06-06,5987.06,6016.87,5978.63,6000.36,6000.36,4355710000
2025-06-05,5985.67,5999.7,5921.2,5939.3,5939.3,5091850000
2025-06-04,5978.94,5990.48,5966.11,5970.81,5970.81,4767050000
2025-06-03,5938.56,5981.35,5929,5970.37,5970.37,5026680000
2025-06-02,5896.68,5937.4,5861.43,5935.94,5935.94,4832240000
2025-05-30,5903.67,5922.14,5843.66,5911.69,5911.69,6378540000
2025-05-29,5939.96,5943.13,5873.8,5912.17,5912.17,4569750000
2025-05-28,5925.54,5939.92,5881.88,5888.55,5888.55,4665050000
2025-05-27,5854.07,5924.33,5854.07,5921.54,5921.54,5366380000
2025-05-23,5781.89,5829.51,5767.41,5802.82,5802.82,4662820000
2025-05-22,5841.26,5878.08,5825.82,5842.01,5842.01,5157050000
2025-05-21,5910.18,5938.37,5830.91,5844.61,5844.61,5254250000
2025-05-20,5944.66,5953.06,5909.26,5940.46,5940.46,4416850000
2025-05-19,5902.88,5968.61,5895.69,5963.6,5963.6,4144010000
2025-05-16,5929.09,5958.62,5907.36,5958.38,5958.38,4850850000
2025-05-15,5869.82,5924.21,5865.16,5916.93,5916.93,4991290000
2025-05-14,5896.74,5906.55,5872.11,5892.58,5892.58,5233450000
2025-05-13,5854.15,5906.64,5845.02,5886.55,5886.55,5516290000
2025-05-12,5807.2,5845.37,5786.08,5844.19,5844.19,6014580000
2025-05-09,5679.65,5691.69,5644.15,5659.91,5659.91,4645090000
2025-05-08,5663.6,5720.1,5635.38,5663.94,5663.94,5627400000
2025-05-07,5614.18,5654.73,5578.64,5631.28,5631.28,4987440000
2025-05-06,5605.87,5649.58,5586.04,5606.91,5606.91,4717260000
2025-05-05,5655.32,5683.38,5634.48,5650.38,5650.38,4358260000
2025-05-02,5645.88,5700.7,5642.28,5686.67,5686.67,4854380000
2025-05-01,5625.14,5658.91,5597.35,5604.14,5604.14,4935270000
2025-04-30,5499.44,5581.84,5433.24,5569.06,5569.06,5449490000
2025-04-29,5508.87,5571.95,5505.7,5560.83,5560.83,4747150000
2025-04-28,5529.22,5553.66,5468.64,5528.75,5528.75,4257880000
2025-04-25,5489.73,5528.11,5455.86,5525.21,5525.21,4236580000
2025-04-24,5381.38,5489.4,5371.96,5484.77,5484.77,4697710000
2025-04-23,5395.92,5469.69,5356.17,5375.86,5375.86,5371390000
2025-04-22,5207.67,5309.61,5207.67,5287.76,5287.76,4666950000
2025-04-21,5232.94,5232.94,5101.63,5158.2,5158.2,4226340000
2025-04-17,5305.45,5328.31,5255.58,5282.7,5282.7,4714880000
2025-04-16,5335.75,5367.24,5220.79,5275.7,5275.7,4607750000
2025-04-15,5411.99,5450.41,5386.44,5396.63,5396.63,4317110000
2025-04-14,5441.96,5459.46,5358.02,5405.97,5405.97,5031440000
2025-04-11,5255.56,5381.46,5220.77,5363.36,5363.36,5602550000
2025-04-10,5353.15,5353.15,5115.27,5268.05,5268.05,6677140000
2025-04-09,4965.28,5481.34,4948.43,5456.9,5456.9,9489600000
2025-04-08,5193.57,5267.47,4910.42,4982.77,4982.77,7408140000
2025-04-07,4953.79,5246.57,4835.04,5062.25,5062.25,8691980000
2025-04-04,5292.14,5292.14,5069.9,5074.08,5074.08,8853500000
2025-04-03,5492.74,5499.53,5390.83,5396.52,5396.52,7210470000
2025-04-02,5580.76,5695.31,5571.48,5670.97,5670.97,4243830000
2025-04-01,5597.53,5650.57,5558.52,5633.07,5633.07,4434500000
2025-03-31,5527.91,5627.56,5488.73,5611.85,5611.85,5257250000
2025-03-28,5679.2,5685.89,5572.42,5580.94,5580.94,4513330000
2025-03-27,5695.64,5732.28,5670.94,5693.31,5693.31,4403460000
2025-03-26,5771.66,5783.62,5694.41,5712.2,5712.2,4183140000
2025-03-25,5775.96,5786.95,5760.42,5776.65,5776.65,4467340000
2025-03-24,5718.08,5775.14,5718.08,5767.57,5767.57,4517990000
2025-03-21,5630.73,5670.84,5603.1,5667.56,5667.56,9367460000
2025-03-20,5646.92,5711.15,5632.33,5662.89,5662.89,4678420000
2025-03-19,5632.37,5715.33,5622.2,5675.29,5675.29,4660090000
2025-03-18,5654.53,5654.53,5597.76,5614.66,5614.66,4666270000
2025-03-17,5635.6,5703.52,5631.12,5675.12,5675.12,5031770000
2025-03-14,5563.85,5645.27,5563.85,5638.94,5638.94,4863180000
2025-03-13,5594.45,5597.78,5504.65,5521.52,5521.52,5018980000
2025-03-12,5624.84,5642.19,5546.09,5599.3,5599.3,5219830000
2025-03-11,5603.65,5636.3,5528.41,5572.07,5572.07,6221240000
2025-03-10,5705.37,5705.37,5564.02,5614.56,5614.56,6409370000
2025-03-07,5726.01,5783.01,5666.29,5770.2,5770.2,5705140000
2025-03-06,5785.87,5812.08,5711.64,5738.52,5738.52,5165080000
2025-03-05,5781.36,5860.59,5742.35,5842.63,5842.63,5285970000
2025-03-04,5811.98,5865.08,5732.59,5778.15,5778.15,6138110000
2025-03-03,5968.33,5986.09,5810.91,5849.72,5849.72,5613850000
2025-02-28,5856.74,5959.4,5837.66,5954.5,5954.5,6441140000
2025-02-27,5981.88,5993.69,5858.78,5861.57,5861.57,5057680000
2025-02-26,5970.87,6009.82,5932.69,5956.06,5956.06,4869580000
2025-02-25,5982.73,5992.65,5908.49,5955.25,5955.25,5374690000
2025-02-24,6026.69,6043.65,5977.83,5983.25,5983.25,4990120000
2025-02-21,6114.1,6114.82,6008.56,6013.13,6013.13,5434560000
2025-02-20,6134.5,6134.5,6084.59,6117.52,6117.52,4813690000
2025-02-19,6117.76,6147.43,6111.15,6144.15,6144.15,4562330000
2025-02-18,6121.6,6129.63,6099.51,6129.58,6129.58,4684980000